,Year,country,language,production_co,runtime,budget,gross_usa,director_0,director_1,rating,star_0,star_1,star_2,star_3,writer_0,writer_1,writer_2,review_count,title,open_week,cumulative,mpaa_rating,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western,War
0,2018,USA,English, Marvel Studios,134.0,200000000.0,700059566.0,Ryan Coogler,0,73.0,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,,Ryan Coogler,Joe Robert Cole,,554710.0,Black Panther,202003951182018.0,1346913161.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2018,USA,English, A24,127.0,10000000.0,44069456.0,Ari Aster,0,73.0,Toni Collette,Milly Shapiro,Gabriel Byrne,,Ari Aster,0,0,184029.0,Hereditary,13575172102018.0,79336821.0,   R,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2,2018,USA,English, Chernin Entertainment,140.0,69000000.0,46874505.0,Francis Lawrence,0,66.0,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,,Justin Haythe,Jason Matthews,0,146931.0,Red Sparrow,1685342242018.0,151572634.0,   R,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2018,USA,English, Alcon Entertainment,130.0,35000000.0,45819713.0,Nicolai Fuglsig,0,65.0,Chris Hemsworth,Michael Shannon,Michael Peña,,Ted Tally,Peter Craig,,54954.0,12 Strong,15815025212018.0,67450815.0,   R,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4,2018,USA,English, Atmosphere Entertainment MM,148.0,30000000.0,44947622.0,Christian Gudegast,0,70.0,Gerard Butler,Pablo Schreiber,O'Shea Jackson Jr.,,Christian Gudegast,Christian Gudegast,,76444.0,Den of Thieves,15206108212018.0,80509622.0,   R,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2018,UK,English, Paramount Pictures,115.0,40000000.0,32732301.0,Alex Garland,0,69.0,Natalie Portman,Jennifer Jason Leigh,Tessa Thompson,,Alex Garland,Jeff VanderMeer,0,246373.0,Annihilation,11071584252018.0,43070915.0,   R,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,2018,USA,English, Access Entertainment,100.0,37000000.0,69179066.0,John Francis Daley,Jonathan Goldstein,69.0,Jason Bateman,Rachel McAdams,Kyle Chandler,,Mark Perez,0,0,176473.0,Game Night,17005332252018.0,117679066.0,   R,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,2018,USA,English, Perfect World Pictures,105.0,55000000.0,100407760.0,James Foley,0,45.0,Dakota Johnson,Jamie Dornan,Eric Johnson,,Niall Leonard,E.L. James,0,47226.0,Fifty Shades Freed,38560195112018.0,371985018.0,   R,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8,2018,France,English, StudioCanal,105.0,30000000.0,36343858.0,Jaume Collet-Serra,0,63.0,Liam Neeson,Vera Farmiga,Patrick Wilson,,Byron Willinger,Philip de Blasi,,90209.0,The Commuter,13701452142018.0,119942387.0,PG-13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
9,2018,UK,English, SpectreVision,121.0,6000000.0,1214525.0,Panos Cosmatos,0,66.0,Nicolas Cage,Andrea Riseborough,Linus Roache,,Panos Cosmatos,Aaron Stewart-Ahn,,50624.0,Mandy,225723162018.0,1524880.0,Not Rated,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
