,genre_0,genre_1,genre_2,genre_3,country,language,production_co,runtime,budget,gross_usa,release,director_0,director_1,rating,star_0,star_1,star_2,star_3,writer_0,writer_1,writer_2,review_count,title,open_week,cumulative,mpaa_rating
0, Drama, Mystery, Sci-Fi, Thriller,Canada,English, Amazing,105.0,0.0,276591.0,"13 September 2019 (USA)
",Zach Lipovsky,Adam B. Stein,67.0,Emile Hirsch,Bruce Dern,Grace Park,,Zach Lipovsky,Adam B. Stein,0,5333.0,Freaks,161543152019.0,333856.0,   R
1, Animation, Family, Fantasy,0,France,English, Universal Pictures,85.0,75000000.0,270620950.0,"9 November 2018 (USA)
",Yarrow Cheney,Scott Mosier,63.0,Benedict Cumberbatch,Cameron Seely,Rashida Jones,,Michael LeSieur,Tommy Swerdlow,,36340.0,Dr. Seuss' The Grinch,67572855112018.0,511595957.0,   PG
2, Adventure, Drama, Thriller,0,Australia,English, Causeway Films,136.0,0.0,400209.0,"29 August 2019 (Australia)
",Jennifer Kent,0,72.0,Aisling Franciosi,Sam Claflin,Baykali Ganambarr,,Jennifer Kent,0,0,7255.0,The Nightingale,3588242019.0,800448.0,   R
3, Action, Adventure, Sci-Fi,0,USA,English, Lucasfilm,135.0,275000000.0,213767512.0,"25 May 2018 (USA)
",Ron Howard,0,69.0,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,,Jonathan Kasdan,Lawrence Kasdan,,246184.0,Solo: A Star Wars Story,84420489272018.0,392924807.0,PG-13
5, Biography, Drama, Music,0,UK,English, GK Films,134.0,52000000.0,216428042.0,"2 November 2018 (USA)
",Bryan Singer,0,80.0,Rami Malek,Lucy Boynton,Gwilym Lee,,Anthony McCarten,Peter Morgan,,396159.0,Bohemian Rhapsody,5106111942018.0,903655259.0,PG-13
6, Action, Adventure, Sci-Fi,0,USA,English, Marvel Studios,149.0,321000000.0,678815482.0,"27 April 2018 (USA)
",Anthony Russo,Joe Russo,85.0,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,,Christopher Markus,Stephen McFeely,,730792.0,Avengers: Infinity War,257698183292018.0,2048359754.0,PG-13
7, Action, Adventure, Fantasy, Sci-Fi,USA,English, DC Comics,143.0,160000000.0,335061807.0,"21 December 2018 (USA)
",James Wan,0,70.0,Jason Momoa,Amber Heard,Willem Dafoe,,David Leslie Johnson-McGoldrick,Will Beall,,315046.0,Aquaman,67873522232018.0,1148161807.0,PG-13
8, Drama,0,0,0,USA,English, 3Blackdot,113.0,0.0,0.0,"6 December 2019 (USA)
",Sam Taylor-Johnson,0,62.0,Aaron Taylor-Johnson,Billy Bob Thornton,Odessa Young,,James Frey,Aaron Taylor-Johnson,,460.0,A Million Little Pieces,0.0,49710.0,   R
9, Comedy, Drama,0,0,USA,English, Closest to the Hole Productions,118.0,48000000.0,67363237.0,"16 November 2018 (USA)
",Sean Anders,0,73.0,Mark Wahlberg,Rose Byrne,Isabela Merced,,Sean Anders,John Morris,0,60961.0,Instant Family,14504315182018.0,120556201.0,PG-13
10, Animation, Action, Adventure, Family,USA,English, Sony Pictures Entertainment (SPE),117.0,90000000.0,190241310.0,"14 December 2018 (USA)
",Bob Persichetti,Peter Ramsey,84.0,Shameik Moore,Jake Johnson,Hailee Steinfeld,,Phil Lord,Rodney Rothman,,280853.0,Spider-Man: Into the Spider-Verse,35363376162018.0,375540831.0,   PG
11, Biography, Comedy, Drama, Music,USA,English, Participant,130.0,23000000.0,85080171.0,"16 November 2018 (USA)
",Peter Farrelly,0,82.0,Viggo Mortensen,Mahershala Ali,Linda Cardellini,,Nick Vallelonga,Brian Hayes Currie,,266339.0,Green Book,320429182018.0,321752656.0,PG-13
12, Drama, History, Thriller,0,Australia,English, A Hamilton and Electric Pictures Production,123.0,0.0,9651611.0,"29 March 2019 (USA)
",Anthony Maras,0,76.0,Dev Patel,Armie Hammer,Nazanin Boniadi,,John Collee,Anthony Maras,0,36619.0,Hotel Mumbai,88065242019.0,21314816.0,   R
13, Biography, Drama, History,0,Ireland,English, Fox Searchlight Pictures,119.0,15000000.0,34366783.0,"21 December 2018 (USA)
",Yorgos Lanthimos,0,76.0,Olivia Colman,Emma Stone,Rachel Weisz,,Deborah Davis,Tony McNamara,0,138691.0,The Favourite,422410252018.0,95918706.0,   R
14, Action, Adventure, Sci-Fi,0,USA,English, Marvel Studios,134.0,200000000.0,700059566.0,"16 February 2018 (USA)
",Ryan Coogler,0,73.0,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,,Ryan Coogler,Joe Robert Cole,,554713.0,Black Panther,202003951182018.0,1346913161.0,PG-13
