,Year,country,language,production_co,runtime,budget,gross_usa,director_0,director_1,rating,star_0,star_1,star_2,star_3,writer_0,writer_1,writer_2,review_count,title,open_week,cumulative,mpaa_rating,Adventure,Animation,Biography,Comedy,Crime,Drama,Film-Noir,Horror,Mystery,Western,Action,Family,Fantasy,History,Music,Musical,Romance,Sci-Fi,Sport,Thriller,War
0,2019,USA,English, Tribeca Productions,209.0,159000000.0,0.0,Martin Scorsese,0,82.0,Robert De Niro,Al Pacino,Joe Pesci,,Charles Brandt,Steven Zaillian,0,122981.0,The Irishman,0.0,885600.0,   R,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,USA,English, BRON Studios,122.0,55000000.0,332570374.0,Todd Phillips,0,87.0,Joaquin Phoenix,Robert De Niro,Zazie Beetz,,Todd Phillips,Scott Silver,,516011.0,Joker,9620233762019.0,1057270374.0,   R,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2019,USA,English, Chernin Entertainment,152.0,97600000.0,94104794.0,James Mangold,0,83.0,Matt Damon,Christian Bale,Jon Bernthal,,Jez Butterworth,John-Henry Butterworth,,56880.0,Ford v Ferrari,31474958172019.0,171368062.0,PG-13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2019,UK,English, Heyday Films,136.0,18600000.0,0.0,Noah Baumbach,0,83.0,Adam Driver,Scarlett Johansson,Julia Greer,,Noah Baumbach,0,0,39089.0,Marriage Story,0.0,232737.0,   R,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2019,South Korea,Korean, Barunson E&A,132.0,0.0,19717719.0,Bong Joon Ho,0,86.0,Kang-ho Song,Sun-kyun Lee,Yeo-jeong Jo,,Bong Joon Ho,Bong Joon Ho,,96547.0,Parasite,393216132019.0,120742113.0,   R,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,2019,USA,English, Marvel Studios,181.0,356000000.0,858373000.0,Anthony Russo,Joe Russo,85.0,Robert Downey Jr.,Chris Evans,Mark Ruffalo,,Christopher Markus,Stephen McFeely,,618054.0,Avengers: Endgame,357115007282019.0,2797800564.0,PG-13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,1990,USA,English, Warner Bros.,146.0,25000000.0,46836214.0,Martin Scorsese,0,87.0,Robert De Niro,Ray Liotta,Joe Pesci,,Nicholas Pileggi,Nicholas Pileggi,,939814.0,Goodfellas,6368901231990.0,46879633.0,   R,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1972,USA,English, Paramount Pictures,175.0,6000000.0,134966411.0,Francis Ford Coppola,0,92.0,Marlon Brando,Al Pacino,James Caan,,Mario Puzo,Francis Ford Coppola,,1488628.0,The Godfather,302393191972.0,246120974.0,   R,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1947,USA,English, Liberty Films (II),130.0,3180000.0,0.0,Frank Capra,0,86.0,James Stewart,Donna Reed,Lionel Barrymore,,Frances Goodrich,Albert Hackett,,368560.0,It's a Wonderful Life,0.0,5049416.0,Not Rated,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
9,1988,USA,English, Twentieth Century Fox,132.0,28000000.0,83519093.0,John McTiernan,0,82.0,Bruce Willis,Alan Rickman,Bonnie Bedelia,,Roderick Thorp,Jeb Stuart,,737725.0,Die Hard,601851171988.0,141482154.0,   R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,1976,USA,English, Columbia Pictures,114.0,1300000.0,28262574.0,Martin Scorsese,0,83.0,Robert De Niro,Jodie Foster,Cybill Shepherd,,Paul Schrader,0,0,665112.0,Taxi Driver,116458191996.0,28441292.0,   R,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1977,USA,English, Lucasfilm,121.0,11000000.0,460998507.0,George Lucas,0,86.0,Mark Hamill,Harrison Ford,Carrie Fisher,,George Lucas,0,0,1151917.0,Star Wars: Episode IV - A New Hope,1554475301977.0,775512064.0,   PG,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
12,2013,USA,English, Red Granite Pictures,180.0,100000000.0,116900694.0,Martin Scorsese,0,82.0,Leonardo DiCaprio,Jonah Hill,Margot Robbie,,Terence Winter,Jordan Belfort,0,1074470.0,The Wolf of Wall Street,18361578292013.0,392000694.0,   R,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1995,USA,English, Universal Pictures,178.0,52000000.0,42512375.0,Martin Scorsese,0,82.0,Robert De Niro,Sharon Stone,Joe Pesci,,Nicholas Pileggi,Nicholas Pileggi,,428529.0,Casino,9946480261995.0,116112375.0,   R,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1994,USA,English, Castle Rock Entertainment,142.0,25000000.0,28699976.0,Frank Darabont,0,93.0,Tim Robbins,Morgan Freeman,Bob Gunton,,Stephen King,Frank Darabont,0,2167336.0,The Shawshank Redemption,727327251994.0,28783573.0,   R,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2008,USA,English, Warner Bros.,152.0,185000000.0,535234033.0,Christopher Nolan,0,90.0,Christian Bale,Heath Ledger,Aaron Eckhart,,Jonathan Nolan,Christopher Nolan,,2143316.0,The Dark Knight,158411483202008.0,1004934033.0,PG-13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,1980,UK,English, Warner Bros.,144.0,19000000.0,44781695.0,Stanley Kubrick,0,84.0,Jack Nicholson,Shelley Duvall,Danny Lloyd,,Stephen King,Stanley Kubrick,,821794.0,The Shining,622337261980.0,45655744.0,   R,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1974,USA,English, Paramount Pictures,202.0,13000000.0,47834595.0,Francis Ford Coppola,0,90.0,Al Pacino,Robert De Niro,Robert Duvall,,Francis Ford Coppola,Mario Puzo,,1037381.0,The Godfather: Part II,171417102019.0,48020957.0,   R,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2014,USA,English, Paramount Pictures,169.0,165000000.0,188020017.0,Christopher Nolan,0,86.0,Matthew McConaughey,Anne Hathaway,Jessica Chastain,,Jonathan Nolan,Christopher Nolan,0,1354598.0,Interstellar,4751036092014.0,677471339.0,PG-13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,1983,USA,English, Lucasfilm,131.0,32500000.0,309306177.0,Richard Marquand,0,83.0,Mark Hamill,Harrison Ford,Carrie Fisher,,Lawrence Kasdan,George Lucas,,886463.0,Star Wars: Episode VI - Return of the Jedi,23019618291983.0,475347111.0,   PG,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20,1994,USA,English, Miramax,154.0,8000000.0,107928762.0,Quentin Tarantino,0,89.0,John Travolta,Uma Thurman,Samuel L. Jackson,,Quentin Tarantino,Roger Avary,,1701694.0,Pulp Fiction,9311882161994.0,214179088.0,   R,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2006,USA,English, Warner Bros.,151.0,90000000.0,132384315.0,Martin Scorsese,0,85.0,Leonardo DiCaprio,Matt Damon,Jack Nicholson,,William Monahan,Alan Mak,,1108171.0,The Departed,2688746782006.0,291465034.0,   R,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,2011,USA,English, Warner Bros.,130.0,125000000.0,381409310.0,David Yates,0,81.0,Daniel Radcliffe,Emma Watson,Rupert Grint,,Steve Kloves,J.K. Rowling,0,710682.0,Harry Potter and the Deathly Hallows: Part 2,169189427172011.0,1341932398.0,PG-13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
23,2001,New Zealand,English, New Line Cinema,178.0,93000000.0,315544750.0,Peter Jackson,0,88.0,Elijah Wood,Ian McKellen,Orlando Bloom,,J.R.R. Tolkien,Fran Walsh,,1553921.0,The Lord of the Rings: The Fellowship of the Ring,47211490232001.0,872491916.0,PG-13,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
